region,rango_brillo,obj_ID,class,magnitud_media,redshift
2,1,1.237652947992445e+18,GALAXY,12.244871633500692,0.01245049
2,2,1.237652947992445e+18,GALAXY,12.245390905094549,0.01245049
2,3,1.237652947992445e+18,GALAXY,12.247284136694345,0.01245049
2,4,1.237652947992445e+18,GALAXY,12.254230665169791,0.01245049
2,5,1.2376637825929057e+18,GALAXY,13.267895278958198,0.04453976
2,6,1.2376637825929057e+18,GALAXY,13.270211331124049,0.04453976
2,7,1.2376637825929057e+18,GALAXY,13.27486248267085,0.04453976
2,8,1.2376637825929057e+18,GALAXY,13.28234583987122,0.04453976
2,9,1.2376637825965752e+18,GALAXY,13.680463274417804,0.01731313
2,10,1.2376637825965752e+18,GALAXY,13.680793640607755,0.01731313
3,1,1.2376499544079073e+18,GALAXY,13.203423997985126,0.01532596
3,2,1.2376499544079073e+18,GALAXY,13.212035625041358,0.01532596
3,3,1.2376499544079073e+18,GALAXY,13.21291290346095,0.01532596
3,4,1.2376499544079073e+18,GALAXY,13.216691533984616,0.01532596
3,5,1.2376637842104648e+18,GALAXY,14.108240179961399,0.01931902
3,6,1.2376637842104648e+18,GALAXY,14.108701420890753,0.01931902
3,7,1.2376637842104648e+18,GALAXY,14.111857807511035,0.01931902
3,8,1.2376637842104648e+18,GALAXY,14.11599764484257,0.01931902
3,9,1.2376785792927662e+18,STAR,14.24917093889356,5.442247e-05
3,10,1.2376785792927662e+18,STAR,14.251662667896067,5.442247e-05
4,1,1.2376710673822515e+18,STAR,14.77773048463725,-0.0002771457
4,2,1.2376710673822515e+18,STAR,14.78135230359502,-0.0002771457
4,3,1.2376710673822515e+18,STAR,14.786303835575671,-0.0002771457
4,4,1.2376710673822515e+18,STAR,14.790254798899994,-0.0002771457
4,5,1.2376710673823823e+18,STAR,15.244939976207855,-0.0001916142
4,6,1.2376710673823823e+18,STAR,15.245667823345007,-0.0001916142
4,7,1.2376710673823823e+18,STAR,15.249312708966983,-0.0001916142
4,8,1.2376710673823823e+18,STAR,15.249672372585204,-0.0001916142
4,9,1.2376710673823823e+18,STAR,15.302544228269293,-0.0002176905
4,10,1.2376710673823823e+18,STAR,15.307514046912681,-0.0002176905
12,1,1.2376637826001797e+18,GALAXY,14.006048417459874,0.04254673
12,2,1.2376637826001797e+18,GALAXY,14.007304747539255,0.04254673
12,3,1.2376637826001797e+18,GALAXY,14.015315994721352,0.04254673
12,4,1.2376637826001797e+18,GALAXY,14.016590678543267,0.04254673
12,5,1.237649961384739e+18,GALAXY,14.490266500870685,0.02840531
12,6,1.237649961384739e+18,GALAXY,14.503821120934393,0.02840531
12,7,1.237649961384739e+18,GALAXY,14.505058907055306,0.02840531
12,8,1.237649961384739e+18,GALAXY,14.505108273839046,0.02840531
12,9,1.2376662994795233e+18,STAR,14.638247371150925,-7.710047e-06
12,10,1.2376662994795233e+18,STAR,14.639723597468736,-7.710047e-06
13,1,1.237670959475917e+18,STAR,14.537830660190028,-0.0001143236
13,2,1.237670959475917e+18,STAR,14.548289018702851,-0.0001143236
13,3,1.237670959475917e+18,STAR,14.550209717784536,-0.0001143236
13,4,1.237670959475917e+18,STAR,14.550313195744854,-0.0001143236
13,5,1.2376704575029903e+18,STAR,14.68233202388014,0.000104138
13,6,1.2376704575029903e+18,STAR,14.687388170899187,0.000104138
13,7,1.2376704575029903e+18,STAR,14.68825585558352,0.000104138
13,8,1.2376704575029903e+18,STAR,14.68834751414444,0.000104138
13,9,1.2376602419260293e+18,STAR,14.721639389410896,0.0001228133
13,10,1.2376602419260293e+18,STAR,14.730720912245,0.0001228133
