gr_bin,ri_bin,class,count
0.15,0.55,QSO,48
2.1,1.35,GALAXY,59
0.15,0.1,GALAXY,53
0.25,-0.25,STAR,22
0.7,0.7,QSO,23
0.4,0.35,STAR,47
1.45,0.6,STAR,49
0.25,1.1,GALAXY,24
0.7,0.05,STAR,24
0.85,0.4,QSO,25
1.45,1.05,STAR,131
1.35,1.3,STAR,55
2.0,1.4,GALAXY,42
0.35,-0.25,QSO,34
1.8,0.5,GALAXY,54
0.9,0.3,QSO,29
1.15,1.1,STAR,22
-0.15,-0.1,STAR,98
0.55,0.9,GALAXY,54
0.1,0.15,GALAXY,49
1.4,0.85,STAR,73
0.15,-0.25,QSO,54
-0.2,0.05,QSO,29
0.15,0.6,GALAXY,23
2.25,0.95,GALAXY,53
0.2,0.65,GALAXY,21
0.5,0.4,STAR,26
-0.35,-0.3,STAR,64
0.25,0.55,QSO,43
0.25,0.6,GALAXY,37
1.25,0.95,STAR,23
-0.1,-0.2,STAR,32
0.0,-0.15,QSO,67
1.35,0.9,STAR,54
1.65,1.9,STAR,26
-0.2,-0.1,STAR,57
1.9,0.5,GALAXY,23
0.05,0.1,GALAXY,25
1.05,0.55,GALAXY,395
0.9,1.2,GALAXY,35
0.4,-0.15,QSO,110
1.6,1.1,GALAXY,592
2.0,0.9,GALAXY,266
2.05,0.7,GALAXY,86
1.35,0.65,GALAXY,128
0.1,0.0,STAR,383
1.2,1.05,STAR,25
0.55,0.25,STAR,1088
1.05,1.15,GALAXY,65
1.35,1.25,GALAXY,126
0.35,0.2,QSO,333
1.85,0.7,GALAXY,721
1.05,0.9,GALAXY,137
1.4,0.75,STAR,96
0.75,0.45,STAR,24
0.3,0.45,QSO,133
1.3,0.65,STAR,74
1.85,0.85,GALAXY,603
0.8,0.85,GALAXY,87
2.0,0.85,GALAXY,228
1.65,1.0,GALAXY,768
0.5,0.2,STAR,1473
1.6,0.6,GALAXY,874
0.4,0.3,QSO,196
0.0,0.05,QSO,385
0.85,0.8,GALAXY,104
0.2,0.15,QSO,716
1.0,0.5,GALAXY,1078
1.05,0.95,GALAXY,139
0.4,-0.2,QSO,57
1.5,0.9,GALAXY,536
1.65,0.55,GALAXY,509
1.8,1.25,GALAXY,224
0.35,-0.1,QSO,229
1.75,0.65,GALAXY,1217
1.45,0.8,GALAXY,402
2.05,1.0,GALAXY,217
1.2,0.6,GALAXY,158
0.3,0.1,STAR,2184
2.05,0.8,GALAXY,123
1.15,0.5,GALAXY,1053
-0.05,0.2,QSO,347
1.45,1.2,GALAXY,247
1.9,0.9,GALAXY,511
0.7,1.1,GALAXY,49
0.15,0.05,QSO,778
1.45,1.0,GALAXY,424
1.2,0.9,GALAXY,176
0.45,0.1,QSO,343
0.4,0.35,GALAXY,267
2.05,0.95,GALAXY,178
1.25,1.05,GALAXY,203
1.05,0.45,GALAXY,1804
-0.1,0.2,QSO,220
1.35,0.8,GALAXY,346
1.4,1.35,GALAXY,101
0.3,0.1,QSO,604
0.85,0.2,STAR,66
1.55,0.9,GALAXY,661
1.45,1.45,STAR,47
1.5,1.3,STAR,90
0.95,0.5,STAR,28
1.0,0.3,QSO,24
0.1,0.0,QSO,642
0.6,0.35,STAR,113
-0.05,0.1,STAR,41
0.1,-0.05,STAR,226
1.35,0.45,GALAXY,209
1.1,0.35,GALAXY,73
0.75,0.55,GALAXY,102
1.2,1.0,GALAXY,149
0.25,-0.2,QSO,101
2.4,1.35,GALAXY,43
0.55,0.8,GALAXY,64
1.9,0.55,GALAXY,138
0.45,0.65,GALAXY,61
0.25,0.8,GALAXY,35
0.95,0.4,GALAXY,1590
0.55,0.75,GALAXY,71
0.55,0.1,QSO,159
0.5,0.4,GALAXY,305
0.5,0.4,QSO,86
0.4,0.3,GALAXY,459
0.65,0.85,GALAXY,76
1.0,0.85,GALAXY,123
0.75,0.5,GALAXY,332
0.55,1.05,GALAXY,37
0.25,0.35,GALAXY,59
1.8,0.75,GALAXY,692
0.2,0.1,GALAXY,75
0.85,0.2,GALAXY,34
0.9,0.35,GALAXY,399
-0.05,-0.2,STAR,31
1.2,1.4,STAR,25
2.15,1.05,GALAXY,147
0.25,0.05,STAR,791
2.2,1.35,GALAXY,37
0.45,0.05,STAR,165
1.35,1.2,STAR,71
0.1,0.05,STAR,300
1.6,1.5,STAR,32
1.15,1.05,GALAXY,159
0.7,0.65,QSO,26
0.55,0.3,STAR,321
0.05,0.15,QSO,638
0.85,0.55,GALAXY,181
0.95,0.45,STAR,78
0.35,0.4,QSO,121
0.7,0.35,GALAXY,918
0.35,0.0,STAR,175
0.45,-0.05,STAR,47
0.4,-0.1,QSO,151
0.95,1.05,GALAXY,73
0.45,0.2,QSO,218
0.95,0.5,QSO,41
0.35,0.55,GALAXY,58
-0.05,-0.1,STAR,174
1.4,1.1,STAR,85
0.5,0.35,STAR,66
0.95,0.8,GALAXY,124
1.5,1.0,STAR,103
1.25,1.25,GALAXY,89
1.4,1.0,GALAXY,335
2.0,0.95,GALAXY,279
2.65,1.05,GALAXY,34
2.15,1.25,GALAXY,110
1.35,0.95,GALAXY,301
0.4,0.3,STAR,98
0.6,0.75,GALAXY,74
2.95,1.1,GALAXY,21
0.3,0.0,STAR,224
2.6,1.1,GALAXY,48
0.55,0.35,STAR,82
0.3,-0.05,STAR,122
0.2,0.0,STAR,280
0.6,0.9,GALAXY,61
0.3,0.25,GALAXY,217
0.4,0.25,GALAXY,499
2.55,1.25,GALAXY,47
1.1,0.8,GALAXY,180
0.65,0.45,GALAXY,414
1.0,0.8,GALAXY,128
2.35,1.0,GALAXY,65
2.1,0.6,GALAXY,31
1.05,0.25,GALAXY,21
1.45,1.45,GALAXY,49
1.3,1.1,GALAXY,201
0.3,0.05,GALAXY,56
1.55,0.8,STAR,52
0.35,-0.05,GALAXY,33
2.75,1.15,GALAXY,28
2.1,0.7,GALAXY,44
0.75,0.35,QSO,48
1.75,1.5,GALAXY,32
0.0,0.15,GALAXY,25
0.5,0.7,GALAXY,71
1.8,1.4,GALAXY,70
0.9,1.15,GALAXY,45
1.05,0.75,GALAXY,134
2.4,1.2,GALAXY,63
1.1,1.1,GALAXY,105
0.6,0.4,QSO,79
0.2,0.55,QSO,38
0.45,0.5,GALAXY,65
0.05,-0.05,GALAXY,29
1.55,1.45,GALAXY,47
1.3,1.3,STAR,40
1.05,0.35,STAR,167
-0.1,0.05,QSO,137
0.8,1.1,GALAXY,53
1.9,1.5,GALAXY,23
1.25,0.45,STAR,121
0.0,0.15,STAR,44
0.9,0.2,STAR,27
0.25,0.1,GALAXY,107
0.0,-0.2,QSO,38
0.45,1.15,GALAXY,30
