generacion,mejor,media
0,4858.038083237777,3519.0691355399763
1,5496.864940912555,4091.872203689751
2,5875.454162318255,4622.381663537873
3,5997.293507869627,5073.081762353645
4,6196.201977835382,5479.075176820742
5,6395.891708754734,5789.657320589213
6,6699.574242402813,6011.272684877779
7,6761.5035972400165,6198.643796389636
8,6929.04595266757,6368.386709184304
9,6929.04595266757,6498.159923846405
10,7033.302421807355,6635.775245742818
11,7125.91787497589,6738.353174501678
12,7125.91787497589,6813.559581688854
13,7153.286485207098,6878.919679754766
14,7219.784871304787,6904.653029116078
15,7219.784871304787,6948.017745425863
16,7219.784871304787,7004.313067306299
17,7236.464293134659,7033.722503909196
18,7258.44077633642,7034.690859960746
19,7265.163782230476,7043.745987709665
20,7291.997496034377,7075.269744778301
21,7291.997496034377,7076.444757699957
22,7291.997496034377,7088.165483237484
23,7291.997496034377,7109.932468513552
24,7293.301164495306,7122.860514844162
25,7304.280158917935,7130.471143786318
26,7304.280158917935,7130.298075753106
27,7304.280158917935,7146.2570707880295
28,7304.280158917935,7138.248826690947
29,7304.280158917935,7155.3942496327045
30,7305.65028898415,7153.128242121593
31,7311.949615913117,7159.801795527517
32,7311.949615913117,7158.575530982733
33,7318.5274804132805,7156.3042012831265
34,7318.5274804132805,7162.527981958032
35,7319.1183866216215,7169.708009763682
36,7319.1183866216215,7173.430038412943
37,7319.1183866216215,7170.42328337088
38,7319.1183866216215,7159.1367106803855
39,7319.1183866216215,7169.230511357481
40,7319.1183866216215,7157.6037499208105
41,7319.1183866216215,7165.546839067462
42,7319.1183866216215,7167.480099594188
43,7326.4536428540605,7164.361722633389
44,7326.4536428540605,7166.660401324917
45,7326.4536428540605,7173.979627259914
46,7326.4536428540605,7165.543655138014
47,7326.4536428540605,7174.435037655965
48,7326.4536428540605,7158.701845771393
49,7326.4536428540605,7164.1102673159385
50,7326.4536428540605,7171.7414642715685
51,7326.4536428540605,7164.32238798134
52,7326.4536428540605,7159.049112735563
53,7326.4536428540605,7177.640284837677
54,7326.4536428540605,7166.265200503099
55,7326.4536428540605,7162.888437035575
56,7326.4536428540605,7159.415301213375
57,7326.4536428540605,7168.50826688681
58,7326.4536428540605,7167.693322340034
59,7326.4536428540605,7165.0208558308395
60,7326.4536428540605,7169.605648687208
